Meeting Date,Company,Symbol,Industry,SubIndustry,Proposal Type<br>General,Proposal Type<br>Specific,Title,Proponent Type<br>General,Proponent Type<br>Specific,Proponent,Votes For
5/23/2024,"Genworth Financial, Inc.",,Materials,Electric Utilities,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/23/2024,Archer-Daniels-Midl& Co,,Financials,Media and Entertainment,Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,John Chevedden,0.24
5/23/2024,Archer-Daniels-Midl& Co,,Real Estate,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.87
5/23/2024,Lincoln National Corp,,Information Technology,Integrated Oil and Gas,Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,Kenneth Steiner,0.40
5/23/2024,Lincoln National Corp,,Consumer Staples,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.84
5/23/2024,Unum Grp,,Materials,Food Beverage and Tobacco,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/22/2024,FirstEnergy Corp.,,Information Technology,Real Estate Investment Trusts,Social Policy,Climate Risk,Financial Statement Assumptions and Climate Change,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.01
5/22/2024,FirstEnergy Corp.,,Energy,Banks,Executive Compensation,Clawback,Amend Clawback Policy,Individual,Individual,John Chevedden,0.03
5/22/2024,FirstEnergy Corp.,,Industrials,Capital Goods,Executive Compensation,Equity Comp Rules,Feasibility of Integrating Climate-Related Measures into Co’s Comp. Plans,Labor,State/City Specific Public Employee Pension Funds,New York State Common Retirement Fund,0.22
5/22/2024,FirstEnergy Corp.,,Consumer Staples,Retailing,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
5/22/2024,"EOG Resources, Inc.",,Consumer Discretionary,Media and Entertainment,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
5/22/2024,"Mondelez Int'l, Inc.",,Telecommunication Services,Software and Services,Social Policy,Human Rights,Third-Party Report Assessing  Implementation of Human Rights Policy,Social,Socially Responsible Investing Funds,Wespath Benefits & Investments,0.31
5/22/2024,"United Airlines Holdings, Inc.",,Telecommunication Services,Software and Services,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
5/22/2024,The Southern Co,,Telecommunication Services,Software and Services,Social Policy,Climate Risk,"Disclose Short, Medium & Long-Term Operational GHG Targets",Social,Religious Institutions,Mercy Investment Services,0.09
5/22/2024,The Southern Co,,Materials,Media and Entertainment,Voting Rules,Simple Majority Voting,Simple Majority Vote,Individual,Individual,John Chevedden,0.40
5/22/2024,The Southern Co,,Utilities,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
5/22/2024,Tenet Healthcare Corp,,Consumer Staples,"Pharmaceuticals, Biotechnology and Life Sciences",Executive Compensation,Add ESG Metrics to NEO Incentive Plans,Plans to Integrate ESG Metrics Into Executive Compensation,Labor,General Private Labor Union Pension Funds,Int'l Brotherhood of Teamsters,0.05
5/22/2024,Tenet Healthcare Corp,,Energy,"Pharmaceuticals, Biotechnology and Life Sciences",Social Policy,Health Care,Risk Mitigation Regarding State Restrictions for Emergency Abortions,Individual,Individual,Marguerite Casey Foundation,0.05
5/22/2024,Tenet Healthcare Corp,,Real Estate,Electric Utilities,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
5/22/2024,"Amazon.com, Inc.",AMZN,Information Technology,Real Estate Investment Trusts,Social Policy,Employment Rights,Report on Warehouse Working Conditions,Social,Socially Responsible Investing Funds,Tulipshare Ltd.,0.31
5/22/2024,"Amazon.com, Inc.",AMZN,Energy,Food Beverage and Tobacco,Social Policy,Artificial Intelligence (AI),Additional Board Committee to Oversee Artificial Intelligence,Labor,General Private Labor Union Pension Funds,AFL-CIO,0.10
5/22/2024,"Amazon.com, Inc.",AMZN,Information Technology,Banks,Social Policy,Political Spending,Policy to Disclose Directors' Political & Charitable Donations,Social,Public Policy Interest Groups,National Legal and Policy Center,0.01
5/22/2024,"Amazon.com, Inc.",AMZN,Health Care,Software and Services,Social Policy,Human Rights,Report on Customer Use of Certain Technologies,Individual,Individual,John Harrington,0.19
5/22/2024,"Amazon.com, Inc.",AMZN,Consumer Discretionary,Capital Goods,Social Policy,Climate Risk,Alternative Emissions Reporting,Social,Socially Responsible Investing Funds,Green Century Capital Management,0.15
5/22/2024,"Amazon.com, Inc.",AMZN,Energy,"Pharmaceuticals, Biotechnology and Life Sciences",Social Policy,Human Rights,Aditional Reporting on Freedom of Association,Social,Socially Responsible Investing Funds,SHARE (Sharehldr Assoc for Research & Educ,0.32
5/22/2024,"Amazon.com, Inc.",AMZN,Real Estate,Electric Utilities,Social Policy,Environmental,Report on Packaging Materials,Social,Socially Responsible Investing Funds,As You Sow,0.28
5/22/2024,"Amazon.com, Inc.",AMZN,Consumer Discretionary,Media and Entertainment,Social Policy,Climate Risk,Additional Reporting on Stakeholder Impacts,Labor,General Private Labor Union Pension Funds,Int'l Brotherhood of Teamsters,0.23
5/22/2024,"Amazon.com, Inc.",AMZN,Information Technology,Banks,Social Policy,Socio-Economic Systemic Risks,Respect Civil Liberties in Digital Services,Social,Public Policy Interest Groups,American Family Association,0.01
5/22/2024,"Amazon.com, Inc.",AMZN,Health Care,Integrated Oil and Gas,Social Policy,Gender/Racial Equality,Racial and Gender Pay Gap Reporting,Social,Socially Responsible Investing Funds,Arjuna Capital,0.29
5/22/2024,"Amazon.com, Inc.",AMZN,Telecommunication Services,Electric Utilities,Social Policy,Lobbying,Additional Reporting on Lobbying,Social,Religious Institutions,Province of St. Joseph of the Capuchin Order,0.30
5/22/2024,"Amazon.com, Inc.",AMZN,Telecommunication Services,Electric Utilities,Social Policy,Human Rights,Customer Due Diligence,Social,Religious Institutions,American Baptist Home Mission Society,0.16
5/22/2024,"Amazon.com, Inc.",AMZN,Real Estate,Capital Goods,Social Policy,Sustainability Metrics,Corporate Financial Sustainability Report,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.01
5/22/2024,"Amazon.com, Inc.",AMZN,Health Care,Specialty Chemicals,Corporate Governance,Establish New Board Committee & or Council,Establish a Public Policy Committee,Individual,Individual,Jing Zhao,0.06
5/22/2024,"Amazon.com, Inc.",AMZN,Financials,Software and Services,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.77
5/22/2024,"Nordstrom, Inc.",,Utilities,Real Estate Investment Trusts,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.97
5/22/2024,"Reinsurance Grp of America, Inc",,Utilities,Retailing,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.99
5/22/2024,Marathon Oil Corp,,Information Technology,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/22/2024,Xerox Holdings Corp,XRX,Consumer Staples,Food Beverage and Tobacco,Corporate Governance,Director Resignation Bylaw Processes,Director Election Resignation Bylaw,Labor,State/City Specific Public Employee Pension Funds,North Atlantic States Carpenters Pension Fund,0.25
5/22/2024,Xerox Holdings Corp,XRX,Telecommunication Services,Real Estate Investment Trusts,Executive Compensation,Golden Parachutes,Shareholder Opportunity to Vote on Excessive Golden Parachutes,Individual,Individual,Kenneth Steiner,0.42
5/22/2024,Xerox Holdings Corp,XRX,Telecommunication Services,Electric Utilities,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
5/22/2024,"Ross Stores, Inc.",,Health Care,Food Beverage and Tobacco,Social Policy,Climate Risk,Material Value Chain GHG Emissions,Social,Socially Responsible Investing Funds,As You Sow,0.26
5/22/2024,"Ross Stores, Inc.",,Materials,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.76
5/22/2024,Thermo Fisher Scientific Inc.,,Industrials,Capital Goods,Voting Rules,Simple Majority Voting,Simple Majority Vote,Individual,Individual,John Chevedden,0.07
5/22/2024,Thermo Fisher Scientific Inc.,,Materials,Software and Services,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.89
5/22/2024,Xcel Energy Inc.,,Consumer Staples,Electric Utilities,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.78
5/22/2024,"Mondelez Int'l, Inc.",,Financials,Banks,Social Policy,Human Rights,Adopt Public Targets to Eradicate Child Labor from Cocoa Supply Chain,Social,Socially Responsible Investing Funds,Tulipshare Ltd.,0.22
5/22/2024,"Mondelez Int'l, Inc.",,Financials,Real Estate Investment Trusts,Corporate Governance,Chairman Independence,Independent Board Chair,Social,Socially Responsible Investing Funds,The Accountability Board,0.31
5/22/2024,"Mondelez Int'l, Inc.",,Consumer Staples,Real Estate Investment Trusts,Social Policy,Reputational Risk,Audit Subcommittee Study on Company Affiliations,Social,Public Policy Interest Groups,National Legal and Policy Center,0.01
5/22/2024,"Mondelez Int'l, Inc.",,Health Care,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.94
5/22/2024,McDonald's Corp,,Information Technology,Capital Goods,Social Policy,Global Spending Transparency,Annual Report on Global Political Influence,Individual,Individual,John Harrington,0.15
5/22/2024,McDonald's Corp,,Financials,Retailing,Social Policy,Charitable Giving,Corporate Giving Disclosure,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.02
5/22/2024,McDonald's Corp,,Consumer Staples,"Pharmaceuticals, Biotechnology and Life Sciences",Social Policy,Human Rights,Congruency Analysis on Human Rights,Social,Public Policy Interest Groups,National Legal and Policy Center,0.02
5/22/2024,McDonald's Corp,,Consumer Discretionary,Media and Entertainment,Social Policy,Animal Rights,Poultry Welfare Disclosure,Social,Social - Other,Humane Society of the U.S.,0.36
5/22/2024,McDonald's Corp,,Consumer Staples,Specialty Chemicals,Social Policy,Animal Rights,Worldwide Switch to Cage-Free Eggs,Social,Socially Responsible Investing Funds,The Accountability Board,0.00
5/22/2024,McDonald's Corp,,Financials,Food Beverage and Tobacco,Social Policy,Health Care,Adoption of Antibiotics Policy,Social,Religious Institutions,Benedictine Sisters of Boerne,0.15
5/22/2024,McDonald's Corp,,Real Estate,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/22/2024,"ONEOK, Inc.",,Consumer Staples,Media and Entertainment,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
5/21/2024,JPMorgan Chase & Co.,,Utilities,Specialty Chemicals,Social Policy,Employment Rights,Report on Respecting Workforce Civil Liberties,Other,Investment Adviser,Bowyer Research,0.00
5/21/2024,JPMorgan Chase & Co.,,Materials,Software and Services,Executive Compensation,Golden Parachutes,Shareholder Opportunity to Vote on Excessive Golden Parachutes,Individual,Individual,John Chevedden,0.41
5/21/2024,JPMorgan Chase & Co.,,Information Technology,Banks,Social Policy,Human Rights,Report on Due Diligence in Conflict-Affected & High-Risk Areas,Social,Religious Institutions,Sisters of the Blessed Virgin Mary,0.07
5/21/2024,JPMorgan Chase & Co.,,Consumer Discretionary,Electric Utilities,Social Policy,Climate Risk,Proxy Voting Alignment,Social,Religious Institutions,Maryknoll Sisters of St. Dominic,0.08
5/21/2024,JPMorgan Chase & Co.,,Consumer Staples,Capital Goods,Social Policy,Human Rights,Indigenous Peoples' Rights Indicators,Social,Religious Institutions,United Church Funds,0.30
5/21/2024,JPMorgan Chase & Co.,,Health Care,Real Estate Investment Trusts,Social Policy,Climate Risk,Humanitarian Risks Due to Climate Change Policies,Social,Public Policy Interest Groups,National Legal and Policy Center,0.01
5/21/2024,JPMorgan Chase & Co.,,Real Estate,Retailing,Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,Kenneth Steiner,0.43
5/21/2024,JPMorgan Chase & Co.,,Utilities,Capital Goods,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.91
5/21/2024,"Principal Financial Grp, Inc.",,Information Technology,Media and Entertainment,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
5/21/2024,CDW Corp,CDW,Materials,Software and Services,Social Policy,Lobbying,Transparency in Lobbying,Individual,Individual,John Chevedden,0.11
5/21/2024,CDW Corp,CDW,Utilities,Retailing,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.91
5/20/2024,"Consolidated Edison, Inc.",,Consumer Discretionary,"Pharmaceuticals, Biotechnology and Life Sciences",Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/17/2024,The Boeing Co,,Telecommunication Services,Media and Entertainment,Social Policy,Climate Risk,Adoption of Value Chain Emission Reduction Target,Labor,Labor - Other,Amalgamated Bank,0.30
5/17/2024,The Boeing Co,,Real Estate,Electric Utilities,Social Policy,Diversity,"Report on Risks Related to Diversity, Equity & Inclusion Efforts",Social,Public Policy Interest Groups,National Center for Public Policy Research,0.05
5/17/2024,The Boeing Co,,Industrials,Electric Utilities,Social Policy,Gender/Racial Equality,Racial and Gender Pay Gap Disclosure,Individual,Individual,James McRitchie,0.38
5/17/2024,The Boeing Co,,Materials,Software and Services,Social Policy,Climate Risk,Report on Climate Lobbying,Individual,Individual,John Chevedden,0.25
5/17/2024,The Boeing Co,,Real Estate,Real Estate Investment Trusts,Social Policy,Environmental,Review of China Business and ESG Commitments,Social,Public Policy Interest Groups,National Legal and Policy Center,0.05
5/17/2024,The Boeing Co,,Energy,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.62
5/17/2024,"Macy's, Inc.",,Consumer Staples,Retailing,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.92
5/16/2024,"Marsh & McLennan Companies, Inc.",,Consumer Staples,Integrated Oil and Gas,Corporate Governance,Written Consent,Shareholder Right to Act by Written Consent,Individual,Individual,John Chevedden,0.48
5/16/2024,"Marsh & McLennan Companies, Inc.",,Real Estate,Real Estate Investment Trusts,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/16/2024,Herc Holdings Inc.,,Health Care,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.99
5/16/2024,Chubb Limited,,Financials,Media and Entertainment,Social Policy,Racial/Social Justice,Racial and Gender Pay Gap Reporting,Social,Socially Responsible Investing Funds,Arjuna Capital,0.27
5/16/2024,Chubb Limited,,Utilities,Integrated Oil and Gas,Social Policy,Climate Risk,Scope 3 Greenhouse Gas Emissions Reporting,Social,Socially Responsible Investing Funds,As You Sow,0.28
5/16/2024,Chubb Limited,,Real Estate,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.94
5/16/2024,"The Home Depot, Inc.",,Information Technology,Electric Utilities,Executive Compensation,Clawback,Improve Clawback Policy for Unearned Executive Pay,Individual,Individual,John Chevedden,0.30
5/16/2024,"The Home Depot, Inc.",,Information Technology,Software and Services,Social Policy,Socio-Economic Systemic Risks,Biodiversity Impact & Dependence Assessment,Social,Socially Responsible Investing Funds,Domini Impact Investments,0.16
5/16/2024,"The Home Depot, Inc.",,Consumer Discretionary,Electric Utilities,Social Policy,Civil Rights Audit,Report on Respecting Workforce Civil Liberties,Social,Public Policy Interest Groups,American Family Association,0.02
5/16/2024,"The Home Depot, Inc.",,Materials,Software and Services,Social Policy,Lobbying and Political Spending,Corporate Giving Report,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.02
5/16/2024,"The Home Depot, Inc.",,Industrials,Banks,Social Policy,Political Spending,Political Contributions Congruency Analysis,Social,Public Policy Interest Groups,Tara Health Foundation,0.12
5/16/2024,"The Home Depot, Inc.",,Materials,Electric Utilities,Social Policy,Lobbying and Political Spending,Adopt Director Disclosure Policy of Donations,Social,Public Policy Interest Groups,National Legal and Policy Center,0.01
5/16/2024,"The Home Depot, Inc.",,Consumer Discretionary,Software and Services,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/16/2024,CVS Health Corp,,Consumer Discretionary,Software and Services,Corporate Governance,Directors Disclose Expected Hours of Allocation,Board of Directors Accountability and Transparency Amendment,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.03
5/16/2024,CVS Health Corp,,Consumer Discretionary,Capital Goods,Executive Compensation,Golden Parachutes,Shareholder Opportunity to Vote on Excessive Golden Parachutes,Individual,Individual,John Chevedden,0.06
5/16/2024,CVS Health Corp,,Consumer Staples,Software and Services,Voting Rules,Majority Voting for Directors,Directors to be Elected by Majority Vote Improvement,Individual,Individual,Kenneth Steiner,0.18
5/16/2024,CVS Health Corp,,Financials,Software and Services,Social Policy,Employment Rights,Report on a Worker Rights Assessment,Labor,State/City Specific Public Employee Pension Funds,New York State Common Retirement Fund,0.23
5/16/2024,CVS Health Corp,,Consumer Staples,Media and Entertainment,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.85
5/16/2024,PG&E Corp,,Financials,Retailing,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
5/16/2024,AT&T Inc.,,Information Technology,Retailing,Social Policy,Employment Rights,Report on Respecting Workforce Civil Liberties,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.02
5/16/2024,AT&T Inc.,,Telecommunication Services,Software and Services,Executive Compensation,Clawback,Improve Clawback Policy for Unearned Pay for Each NEO,Individual,Individual,John Chevedden,0.10
5/16/2024,AT&T Inc.,,Real Estate,Retailing,Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,Kenneth Steiner,0.19
5/16/2024,AT&T Inc.,,Consumer Discretionary,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.90
5/16/2024,"Altria Grp, Inc.",,Consumer Discretionary,Integrated Oil and Gas,Corporate Governance,Director Resignation Bylaw Processes,Director Election Resignation Bylaw,Labor,State/City Specific Public Employee Pension Funds,NYC Carpenters Pension Fund,0.00
5/16/2024,"Altria Grp, Inc.",,Energy,Software and Services,Social Policy,Environmental,Assess Benefits to Altria of Extended Laws For Spent Tobacco Filters for Tobacco Cos.,Social,Socially Responsible Investing Funds,As You Sow,0.09
5/16/2024,"Altria Grp, Inc.",,Industrials,"Pharmaceuticals, Biotechnology and Life Sciences",Social Policy,Lobbying and Political Spending,Report on Congruence of Political and Lobbying Expenditures with Company Values,Social,Religious Institutions,Trinity Health,0.10
5/16/2024,"Altria Grp, Inc.",,Materials,Capital Goods,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
5/16/2024,Lear Corp,,Financials,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.90
5/16/2024,"YUM! Br&s, Inc.",,Information Technology,Software and Services,Corporate Governance,Factors Affecting Long Term Value,Consideration of Proposed Capital Transactions Involving the Brands,Individual,Individual,Robert Elliot Friedman Trust,0.01
5/16/2024,"YUM! Br&s, Inc.",,Health Care,Food Beverage and Tobacco,Social Policy,Animal Rights,Policy on the Use of  Antimicrobials in Food-Producing Animals,Social,Public Policy Interest Groups,The Shareholder Commons,0.12
5/16/2024,"YUM! Br&s, Inc.",,Information Technology,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.92
5/15/2024,Hess Corp,,Financials,Media and Entertainment,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.75
5/15/2024,Phillips 66,,Real Estate,Food Beverage and Tobacco,Social Policy,Environmental,Report on Reduction in Virgin Plastic Demand Financial Affect,Social,Socially Responsible Investing Funds,As You Sow,0.12
5/15/2024,Phillips 66,,Materials,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/15/2024,PPL Corp,,Information Technology,Media and Entertainment,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
5/15/2024,Northrop Grumman Corp,,Real Estate,Banks,Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,John Chevedden,0.25
5/15/2024,Northrop Grumman Corp,,Consumer Discretionary,Retailing,Social Policy,Human Rights,Annual Report on Alignment of Political Activities & Human Rights Policy,,,"Sisters of Notre Dame, Baltimore, MD",0.07
5/15/2024,Northrop Grumman Corp,,Energy,Food Beverage and Tobacco,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.94
5/15/2024,State Street Corp,,Materials,Software and Services,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/15/2024,Kohl's Corp,,Consumer Staples,"Pharmaceuticals, Biotechnology and Life Sciences",Social Policy,Sustainability Metrics,Corporate Financial Sustainability Report,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.06
5/15/2024,Kohl's Corp,,Consumer Discretionary,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.92
5/15/2024,NOV Inc.,,Information Technology,Software and Services,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
5/15/2024,"The Hartford Financial Services Grp, Inc.",,Consumer Discretionary,Software and Services,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.90
5/15/2024,Southwest Airlines Co.,,Energy,"Pharmaceuticals, Biotechnology and Life Sciences",Corporate Governance,Shareholder Right to Remove Directors,Improve the Right to Remove Unqualified Directors,Individual,Individual,John Chevedden,0.08
5/15/2024,Southwest Airlines Co.,,Materials,Media and Entertainment,Executive Compensation,Clawback,Improve Clawback Policy for Unearned Executive Pay,Individual,Individual,Kenneth Steiner,0.19
5/15/2024,Southwest Airlines Co.,,Industrials,Real Estate Investment Trusts,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.78
5/15/2024,Halliburton Co,,Consumer Staples,Software and Services,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.97
5/15/2024,"Lumen Technologies, Inc.",,Real Estate,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.92
5/15/2024,"The Travelers Companies, Inc.",,Consumer Staples,Capital Goods,Executive Compensation,Exec Pay Comparison,CEO Pay Ratio and Executive Compensation,Individual,Individual,Jing Zhao,0.10
5/15/2024,"The Travelers Companies, Inc.",,Telecommunication Services,Integrated Oil and Gas,Social Policy,Human Rights,Human Rights Risks in Underwriting,Social,Socially Responsible Investing Funds,Trillium Global Equity Fund,0.15
5/15/2024,"The Travelers Companies, Inc.",,Information Technology,Food Beverage and Tobacco,Social Policy,Climate Risk,Disclose GhG Emissions Associated with its Activities,Social,Socially Responsible Investing Funds,As You Sow,0.15
5/15/2024,"The Travelers Companies, Inc.",,Real Estate,Real Estate Investment Trusts,Social Policy,Climate Risk,Report on Methane in the Energy Sector,Social,Socially Responsible Investing Funds,Green Century Capital Management,0.15
5/15/2024,"The Travelers Companies, Inc.",,Energy,Software and Services,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.60
5/15/2024,"American Int'l Grp, Inc.",,Real Estate,Banks,Corporate Governance,Director Resignation Bylaw Processes,Director Resignation By-Law,Labor,State/City Specific Public Employee Pension Funds,NYC Carpenters Pension Fund,0.15
5/15/2024,"American Int'l Grp, Inc.",,Telecommunication Services,Specialty Chemicals,Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,Kenneth Steiner,0.38
5/15/2024,"American Int'l Grp, Inc.",,Materials,Retailing,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.65
5/15/2024,ITT Inc.,,Health Care,Real Estate Investment Trusts,Social Policy,Political Spending,Transparency in Political Spending,Individual,Individual,John Chevedden,0.09
5/15/2024,ITT Inc.,,Telecommunication Services,"Pharmaceuticals, Biotechnology and Life Sciences",Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.98
5/15/2024,"KBR, Inc.",,Consumer Discretionary,Food Beverage and Tobacco,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.98
5/15/2024,Valero Energy Corp,,Consumer Discretionary,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
5/15/2024,"Elevance Health, Inc.",,Consumer Staples,Specialty Chemicals,Social Policy,Political Spending,Report on 3rd Party Financial Support Related to Political Spending,Social,Social - Other,The Nathan Cummings Foundation,0.05
5/15/2024,"Elevance Health, Inc.",,Financials,Real Estate Investment Trusts,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.92
5/14/2024,Centene Corp,,Materials,Media and Entertainment,Social Policy,Climate Risk,Managing Climate Risk Through Science-Based Targets & Transition Planning,Individual,Individual,John Chevedden,0.36
5/14/2024,Centene Corp,,Utilities,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.91
5/14/2024,"Prudential Financial, Inc.",,Industrials,Food Beverage and Tobacco,Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,John Chevedden,0.35
5/14/2024,"Prudential Financial, Inc.",,Real Estate,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.73
5/14/2024,ConocoPhillips,,Industrials,Retailing,Executive Compensation,Rules for Annual Cash Incentive Compensation,Revisit Pay Incentives for GHG Emission Reductions,Social,Public Policy Interest Groups,National Legal and Policy Center,0.01
5/14/2024,ConocoPhillips,,Industrials,Specialty Chemicals,Voting Rules,Simple Majority Voting,Simple Majority Vote,Individual,Individual,Kenneth Steiner,0.99
5/14/2024,ConocoPhillips,,Consumer Discretionary,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
5/14/2024,"Motorola Solutions, Inc.",,Real Estate,Media and Entertainment,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/14/2024,3M Co,,Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Corporate Governance,Board Required to Hold Common Stock,Require CEO & Board to Hold 10x Compensation in Co. Shares,,Individual,Raymond Weber,0.05
5/14/2024,3M Co,,Energy,"Pharmaceuticals, Biotechnology and Life Sciences",Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.45
5/14/2024,Honeywell Int'l Inc.,,Information Technology,Electric Utilities,Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,John Chevedden,0.26
5/14/2024,Honeywell Int'l Inc.,,Utilities,Capital Goods,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
