Meeting_Date,Company,Symbol,Industry,SubIndustry,Proposal_Type_General,Proposal_Type_Specific,Title,Proponent_Type_General,Proponent Type_Specific,Proponent,Votes_For
5/23/2024,"NextEra Energy, Inc.",,Materials,Food Beverage and Tobacco,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.89
5/23/2024,"Genworth Financial, Inc.",,Consumer Staples,Media and Entertainment,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/23/2024,Archer-Daniels-Midl& Co,,Telecommunication Services,"Pharmaceuticals, Biotechnology and Life Sciences",Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,John Chevedden,0.24
5/23/2024,Archer-Daniels-Midl& Co,,Health Care,Capital Goods,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.87
5/23/2024,Lincoln National Corp,,Consumer Staples,"Pharmaceuticals, Biotechnology and Life Sciences",Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,Kenneth Steiner,0.40
5/23/2024,Lincoln National Corp,,Consumer Staples,Software and Services,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.84
5/23/2024,Unum Grp,,Financials,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/22/2024,FirstEnergy Corp.,,Industrials,Software and Services,Social Policy,Climate Risk,Financial Statement Assumptions and Climate Change,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.01
5/22/2024,FirstEnergy Corp.,,Telecommunication Services,Software and Services,Executive Compensation,Clawback,Amend Clawback Policy,Individual,Individual,John Chevedden,0.03
5/22/2024,FirstEnergy Corp.,,Telecommunication Services,Capital Goods,Executive Compensation,Equity Comp Rules,Feasibility of Integrating Climate-Related Measures into Co’s Comp. Plans,Labor,State/City Specific Public Employee Pension Funds,New York State Common Retirement Fund,0.22
5/22/2024,FirstEnergy Corp.,,Industrials,Electric Utilities,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
5/22/2024,"EOG Resources, Inc.",,Materials,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
5/22/2024,"Mondelez Int'l, Inc.",,Information Technology,Banks,Social Policy,Human Rights,Third-Party Report Assessing  Implementation of Human Rights Policy,Social,Socially Responsible Investing Funds,Wespath Benefits & Investments,0.31
5/22/2024,"United Airlines Holdings, Inc.",,Financials,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
5/22/2024,The Southern Co,,Information Technology,Capital Goods,Social Policy,Climate Risk,"Disclose Short, Medium & Long-Term Operational GHG Targets",Social,Religious Institutions,Mercy Investment Services,0.09
5/22/2024,The Southern Co,,Energy,Integrated Oil and Gas,Voting Rules,Simple Majority Voting,Simple Majority Vote,Individual,Individual,John Chevedden,0.40
5/22/2024,The Southern Co,,Materials,Real Estate Investment Trusts,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
5/22/2024,Tenet Healthcare Corp,,Materials,"Pharmaceuticals, Biotechnology and Life Sciences",Executive Compensation,Add ESG Metrics to NEO Incentive Plans,Plans to Integrate ESG Metrics Into Executive Compensation,Labor,General Private Labor Union Pension Funds,Int'l Brotherhood of Teamsters,0.05
5/22/2024,Tenet Healthcare Corp,,Telecommunication Services,Electric Utilities,Social Policy,Health Care,Risk Mitigation Regarding State Restrictions for Emergency Abortions,Individual,Individual,Marguerite Casey Foundation,0.05
5/22/2024,Tenet Healthcare Corp,,Energy,"Pharmaceuticals, Biotechnology and Life Sciences",Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
5/22/2024,"Amazon.com, Inc.",AMZN,Real Estate,Specialty Chemicals,Social Policy,Employment Rights,Report on Warehouse Working Conditions,Social,Socially Responsible Investing Funds,Tulipshare Ltd.,0.31
5/22/2024,"Amazon.com, Inc.",AMZN,Consumer Staples,Banks,Social Policy,Artificial Intelligence (AI),Additional Board Committee to Oversee Artificial Intelligence,Labor,General Private Labor Union Pension Funds,AFL-CIO,0.10
5/22/2024,"Amazon.com, Inc.",AMZN,Financials,Software and Services,Social Policy,Political Spending,Policy to Disclose Directors' Political & Charitable Donations,Social,Public Policy Interest Groups,National Legal and Policy Center,0.01
5/22/2024,"Amazon.com, Inc.",AMZN,Health Care,Integrated Oil and Gas,Social Policy,Human Rights,Report on Customer Use of Certain Technologies,Individual,Individual,John Harrington,0.19
5/22/2024,"Amazon.com, Inc.",AMZN,Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Social Policy,Climate Risk,Alternative Emissions Reporting,Social,Socially Responsible Investing Funds,Green Century Capital Management,0.15
5/22/2024,"Amazon.com, Inc.",AMZN,Industrials,Electric Utilities,Social Policy,Human Rights,Aditional Reporting on Freedom of Association,Social,Socially Responsible Investing Funds,SHARE (Sharehldr Assoc for Research & Educ,0.32
5/22/2024,"Amazon.com, Inc.",AMZN,Industrials,Capital Goods,Social Policy,Environmental,Report on Packaging Materials,Social,Socially Responsible Investing Funds,As You Sow,0.28
5/22/2024,"Amazon.com, Inc.",AMZN,Health Care,Specialty Chemicals,Social Policy,Climate Risk,Additional Reporting on Stakeholder Impacts,Labor,General Private Labor Union Pension Funds,Int'l Brotherhood of Teamsters,0.23
5/22/2024,"Amazon.com, Inc.",AMZN,Real Estate,Integrated Oil and Gas,Social Policy,Socio-Economic Systemic Risks,Respect Civil Liberties in Digital Services,Social,Public Policy Interest Groups,American Family Association,0.01
5/22/2024,"Amazon.com, Inc.",AMZN,Financials,Electric Utilities,Social Policy,Gender/Racial Equality,Racial and Gender Pay Gap Reporting,Social,Socially Responsible Investing Funds,Arjuna Capital,0.29
5/22/2024,"Amazon.com, Inc.",AMZN,Consumer Discretionary,Specialty Chemicals,Social Policy,Lobbying,Additional Reporting on Lobbying,Social,Religious Institutions,Province of St. Joseph of the Capuchin Order,0.30
5/22/2024,"Amazon.com, Inc.",AMZN,Real Estate,Real Estate Investment Trusts,Social Policy,Human Rights,Customer Due Diligence,Social,Religious Institutions,American Baptist Home Mission Society,0.16
5/22/2024,"Amazon.com, Inc.",AMZN,Consumer Staples,Food Beverage and Tobacco,Social Policy,Sustainability Metrics,Corporate Financial Sustainability Report,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.01
5/22/2024,"Amazon.com, Inc.",AMZN,Industrials,Banks,Corporate Governance,Establish New Board Committee & or Council,Establish a Public Policy Committee,Individual,Individual,Jing Zhao,0.06
5/22/2024,"Amazon.com, Inc.",AMZN,Utilities,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.77
5/22/2024,"Nordstrom, Inc.",,Financials,"Pharmaceuticals, Biotechnology and Life Sciences",Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.97
5/22/2024,"Reinsurance Grp of America, Inc",,Real Estate,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.99
5/22/2024,Marathon Oil Corp,,Real Estate,Retailing,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/22/2024,Xerox Holdings Corp,XRX,Materials,Electric Utilities,Corporate Governance,Director Resignation Bylaw Processes,Director Election Resignation Bylaw,Labor,State/City Specific Public Employee Pension Funds,North Atlantic States Carpenters Pension Fund,0.25
5/22/2024,Xerox Holdings Corp,XRX,Utilities,Electric Utilities,Executive Compensation,Golden Parachutes,Shareholder Opportunity to Vote on Excessive Golden Parachutes,Individual,Individual,Kenneth Steiner,0.42
5/22/2024,Xerox Holdings Corp,XRX,Telecommunication Services,Software and Services,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
5/22/2024,"Ross Stores, Inc.",,Health Care,Capital Goods,Social Policy,Climate Risk,Material Value Chain GHG Emissions,Social,Socially Responsible Investing Funds,As You Sow,0.26
5/22/2024,"Ross Stores, Inc.",,Consumer Staples,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.76
5/22/2024,Thermo Fisher Scientific Inc.,,Financials,Media and Entertainment,Voting Rules,Simple Majority Voting,Simple Majority Vote,Individual,Individual,John Chevedden,0.07
5/22/2024,Thermo Fisher Scientific Inc.,,Health Care,Real Estate Investment Trusts,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.89
5/22/2024,Xcel Energy Inc.,,Energy,Electric Utilities,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.78
5/22/2024,"Mondelez Int'l, Inc.",,Materials,Media and Entertainment,Social Policy,Human Rights,Adopt Public Targets to Eradicate Child Labor from Cocoa Supply Chain,Social,Socially Responsible Investing Funds,Tulipshare Ltd.,0.22
5/22/2024,"Mondelez Int'l, Inc.",,Energy,Retailing,Corporate Governance,Chairman Independence,Independent Board Chair,Social,Socially Responsible Investing Funds,The Accountability Board,0.31
5/22/2024,"Mondelez Int'l, Inc.",,Utilities,Integrated Oil and Gas,Social Policy,Reputational Risk,Audit Subcommittee Study on Company Affiliations,Social,Public Policy Interest Groups,National Legal and Policy Center,0.01
5/22/2024,"Mondelez Int'l, Inc.",,Real Estate,Media and Entertainment,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.94
5/22/2024,McDonald's Corp,,Consumer Discretionary,Capital Goods,Social Policy,Global Spending Transparency,Annual Report on Global Political Influence,Individual,Individual,John Harrington,0.15
5/22/2024,McDonald's Corp,,Information Technology,Software and Services,Social Policy,Charitable Giving,Corporate Giving Disclosure,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.02
5/22/2024,McDonald's Corp,,Consumer Discretionary,"Pharmaceuticals, Biotechnology and Life Sciences",Social Policy,Human Rights,Congruency Analysis on Human Rights,Social,Public Policy Interest Groups,National Legal and Policy Center,0.02
5/22/2024,McDonald's Corp,,Financials,Integrated Oil and Gas,Social Policy,Animal Rights,Poultry Welfare Disclosure,Social,Social - Other,Humane Society of the U.S.,0.36
5/22/2024,McDonald's Corp,,Telecommunication Services,Specialty Chemicals,Social Policy,Animal Rights,Worldwide Switch to Cage-Free Eggs,Social,Socially Responsible Investing Funds,The Accountability Board,0.00
5/22/2024,McDonald's Corp,,Materials,Software and Services,Social Policy,Health Care,Adoption of Antibiotics Policy,Social,Religious Institutions,Benedictine Sisters of Boerne,0.15
5/22/2024,McDonald's Corp,,Financials,Real Estate Investment Trusts,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/22/2024,"ONEOK, Inc.",,Health Care,Retailing,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
5/21/2024,JPMorgan Chase & Co.,,Health Care,Banks,Social Policy,Employment Rights,Report on Respecting Workforce Civil Liberties,Other,Investment Adviser,Bowyer Research,0.00
5/21/2024,JPMorgan Chase & Co.,,Real Estate,Specialty Chemicals,Executive Compensation,Golden Parachutes,Shareholder Opportunity to Vote on Excessive Golden Parachutes,Individual,Individual,John Chevedden,0.41
5/21/2024,JPMorgan Chase & Co.,,Utilities,Integrated Oil and Gas,Social Policy,Human Rights,Report on Due Diligence in Conflict-Affected & High-Risk Areas,Social,Religious Institutions,Sisters of the Blessed Virgin Mary,0.07
5/21/2024,JPMorgan Chase & Co.,,Materials,Real Estate Investment Trusts,Social Policy,Climate Risk,Proxy Voting Alignment,Social,Religious Institutions,Maryknoll Sisters of St. Dominic,0.08
5/21/2024,JPMorgan Chase & Co.,,Energy,Specialty Chemicals,Social Policy,Human Rights,Indigenous Peoples' Rights Indicators,Social,Religious Institutions,United Church Funds,0.30
5/21/2024,JPMorgan Chase & Co.,,Financials,Retailing,Social Policy,Climate Risk,Humanitarian Risks Due to Climate Change Policies,Social,Public Policy Interest Groups,National Legal and Policy Center,0.01
5/21/2024,JPMorgan Chase & Co.,,Industrials,Real Estate Investment Trusts,Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,Kenneth Steiner,0.43
5/21/2024,JPMorgan Chase & Co.,,Consumer Discretionary,Electric Utilities,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.91
5/21/2024,"Principal Financial Grp, Inc.",,Information Technology,Retailing,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
5/21/2024,CDW Corp,CDW,Telecommunication Services,Electric Utilities,Social Policy,Lobbying,Transparency in Lobbying,Individual,Individual,John Chevedden,0.11
5/21/2024,CDW Corp,CDW,Utilities,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.91
5/20/2024,"Consolidated Edison, Inc.",,Materials,Real Estate Investment Trusts,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/17/2024,The Boeing Co,,Telecommunication Services,Food Beverage and Tobacco,Social Policy,Climate Risk,Adoption of Value Chain Emission Reduction Target,Labor,Labor - Other,Amalgamated Bank,0.30
5/17/2024,The Boeing Co,,Health Care,Capital Goods,Social Policy,Diversity,"Report on Risks Related to Diversity, Equity & Inclusion Efforts",Social,Public Policy Interest Groups,National Center for Public Policy Research,0.05
5/17/2024,The Boeing Co,,Information Technology,Software and Services,Social Policy,Gender/Racial Equality,Racial and Gender Pay Gap Disclosure,Individual,Individual,James McRitchie,0.38
5/17/2024,The Boeing Co,,Telecommunication Services,Retailing,Social Policy,Climate Risk,Report on Climate Lobbying,Individual,Individual,John Chevedden,0.25
5/17/2024,The Boeing Co,,Industrials,"Pharmaceuticals, Biotechnology and Life Sciences",Social Policy,Environmental,Review of China Business and ESG Commitments,Social,Public Policy Interest Groups,National Legal and Policy Center,0.05
5/17/2024,The Boeing Co,,Industrials,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.62
5/17/2024,"Macy's, Inc.",,Consumer Discretionary,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.92
5/16/2024,"Marsh & McLennan Companies, Inc.",,Energy,Integrated Oil and Gas,Corporate Governance,Written Consent,Shareholder Right to Act by Written Consent,Individual,Individual,John Chevedden,0.48
5/16/2024,"Marsh & McLennan Companies, Inc.",,Consumer Staples,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/16/2024,Herc Holdings Inc.,,Health Care,Electric Utilities,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.99
5/16/2024,Chubb Limited,,Consumer Discretionary,Food Beverage and Tobacco,Social Policy,Racial/Social Justice,Racial and Gender Pay Gap Reporting,Social,Socially Responsible Investing Funds,Arjuna Capital,0.27
5/16/2024,Chubb Limited,,Industrials,Specialty Chemicals,Social Policy,Climate Risk,Scope 3 Greenhouse Gas Emissions Reporting,Social,Socially Responsible Investing Funds,As You Sow,0.28
5/16/2024,Chubb Limited,,Consumer Staples,Media and Entertainment,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.94
5/16/2024,"The Home Depot, Inc.",,Industrials,Software and Services,Executive Compensation,Clawback,Improve Clawback Policy for Unearned Executive Pay,Individual,Individual,John Chevedden,0.30
5/16/2024,"The Home Depot, Inc.",,Materials,Retailing,Social Policy,Socio-Economic Systemic Risks,Biodiversity Impact & Dependence Assessment,Social,Socially Responsible Investing Funds,Domini Impact Investments,0.16
5/16/2024,"The Home Depot, Inc.",,Energy,Retailing,Social Policy,Civil Rights Audit,Report on Respecting Workforce Civil Liberties,Social,Public Policy Interest Groups,American Family Association,0.02
5/16/2024,"The Home Depot, Inc.",,Information Technology,Media and Entertainment,Social Policy,Lobbying and Political Spending,Corporate Giving Report,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.02
5/16/2024,"The Home Depot, Inc.",,Health Care,Integrated Oil and Gas,Social Policy,Political Spending,Political Contributions Congruency Analysis,Social,Public Policy Interest Groups,Tara Health Foundation,0.12
5/16/2024,"The Home Depot, Inc.",,Energy,Media and Entertainment,Social Policy,Lobbying and Political Spending,Adopt Director Disclosure Policy of Donations,Social,Public Policy Interest Groups,National Legal and Policy Center,0.01
5/16/2024,"The Home Depot, Inc.",,Real Estate,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/16/2024,CVS Health Corp,,Energy,Electric Utilities,Corporate Governance,Directors Disclose Expected Hours of Allocation,Board of Directors Accountability and Transparency Amendment,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.03
5/16/2024,CVS Health Corp,,Consumer Staples,"Pharmaceuticals, Biotechnology and Life Sciences",Executive Compensation,Golden Parachutes,Shareholder Opportunity to Vote on Excessive Golden Parachutes,Individual,Individual,John Chevedden,0.06
5/16/2024,CVS Health Corp,,Industrials,Electric Utilities,Voting Rules,Majority Voting for Directors,Directors to be Elected by Majority Vote Improvement,Individual,Individual,Kenneth Steiner,0.18
5/16/2024,CVS Health Corp,,Utilities,Specialty Chemicals,Social Policy,Employment Rights,Report on a Worker Rights Assessment,Labor,State/City Specific Public Employee Pension Funds,New York State Common Retirement Fund,0.23
5/16/2024,CVS Health Corp,,Real Estate,Retailing,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.85
5/16/2024,PG&E Corp,,Telecommunication Services,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
5/16/2024,AT&T Inc.,,Consumer Staples,Electric Utilities,Social Policy,Employment Rights,Report on Respecting Workforce Civil Liberties,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.02
5/16/2024,AT&T Inc.,,Energy,Integrated Oil and Gas,Executive Compensation,Clawback,Improve Clawback Policy for Unearned Pay for Each NEO,Individual,Individual,John Chevedden,0.10
5/16/2024,AT&T Inc.,,Utilities,Capital Goods,Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,Kenneth Steiner,0.19
5/16/2024,AT&T Inc.,,Consumer Discretionary,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.90
5/16/2024,"Altria Grp, Inc.",,Utilities,Electric Utilities,Corporate Governance,Director Resignation Bylaw Processes,Director Election Resignation Bylaw,Labor,State/City Specific Public Employee Pension Funds,NYC Carpenters Pension Fund,0.00
5/16/2024,"Altria Grp, Inc.",,Telecommunication Services,Electric Utilities,Social Policy,Environmental,Assess Benefits to Altria of Extended Laws For Spent Tobacco Filters for Tobacco Cos.,Social,Socially Responsible Investing Funds,As You Sow,0.09
5/16/2024,"Altria Grp, Inc.",,Energy,Media and Entertainment,Social Policy,Lobbying and Political Spending,Report on Congruence of Political and Lobbying Expenditures with Company Values,Social,Religious Institutions,Trinity Health,0.10
5/16/2024,"Altria Grp, Inc.",,Consumer Discretionary,Capital Goods,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
5/16/2024,Lear Corp,,Utilities,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.90
5/16/2024,"YUM! Br&s, Inc.",,Information Technology,Media and Entertainment,Corporate Governance,Factors Affecting Long Term Value,Consideration of Proposed Capital Transactions Involving the Brands,Individual,Individual,Robert Elliot Friedman Trust,0.01
5/16/2024,"YUM! Br&s, Inc.",,Telecommunication Services,Media and Entertainment,Social Policy,Animal Rights,Policy on the Use of  Antimicrobials in Food-Producing Animals,Social,Public Policy Interest Groups,The Shareholder Commons,0.12
5/16/2024,"YUM! Br&s, Inc.",,Consumer Staples,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.92
5/15/2024,Hess Corp,,Materials,Software and Services,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.75
5/15/2024,Phillips 66,,Consumer Staples,Retailing,Social Policy,Environmental,Report on Reduction in Virgin Plastic Demand Financial Affect,Social,Socially Responsible Investing Funds,As You Sow,0.12
5/15/2024,Phillips 66,,Materials,Capital Goods,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/15/2024,PPL Corp,,Industrials,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
5/15/2024,Northrop Grumman Corp,,Information Technology,Integrated Oil and Gas,Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,John Chevedden,0.25
5/15/2024,Northrop Grumman Corp,,Consumer Discretionary,Real Estate Investment Trusts,Social Policy,Human Rights,Annual Report on Alignment of Political Activities & Human Rights Policy,,,"Sisters of Notre Dame, Baltimore, MD",0.07
5/15/2024,Northrop Grumman Corp,,Telecommunication Services,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.94
5/15/2024,State Street Corp,,Energy,Electric Utilities,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/15/2024,Kohl's Corp,,Real Estate,Banks,Social Policy,Sustainability Metrics,Corporate Financial Sustainability Report,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.06
5/15/2024,Kohl's Corp,,Health Care,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.92
5/15/2024,NOV Inc.,,Consumer Discretionary,"Pharmaceuticals, Biotechnology and Life Sciences",Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
5/15/2024,"The Hartford Financial Services Grp, Inc.",,Telecommunication Services,Electric Utilities,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.90
5/15/2024,Southwest Airlines Co.,,Real Estate,"Pharmaceuticals, Biotechnology and Life Sciences",Corporate Governance,Shareholder Right to Remove Directors,Improve the Right to Remove Unqualified Directors,Individual,Individual,John Chevedden,0.08
5/15/2024,Southwest Airlines Co.,,Information Technology,Software and Services,Executive Compensation,Clawback,Improve Clawback Policy for Unearned Executive Pay,Individual,Individual,Kenneth Steiner,0.19
5/15/2024,Southwest Airlines Co.,,Telecommunication Services,Capital Goods,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.78
5/15/2024,Halliburton Co,,Consumer Discretionary,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.97
5/15/2024,"Lumen Technologies, Inc.",,Energy,Food Beverage and Tobacco,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.92
5/15/2024,"The Travelers Companies, Inc.",,Materials,Retailing,Executive Compensation,Exec Pay Comparison,CEO Pay Ratio and Executive Compensation,Individual,Individual,Jing Zhao,0.10
5/15/2024,"The Travelers Companies, Inc.",,Industrials,Capital Goods,Social Policy,Human Rights,Human Rights Risks in Underwriting,Social,Socially Responsible Investing Funds,Trillium Global Equity Fund,0.15
5/15/2024,"The Travelers Companies, Inc.",,Financials,Media and Entertainment,Social Policy,Climate Risk,Disclose GhG Emissions Associated with its Activities,Social,Socially Responsible Investing Funds,As You Sow,0.15
5/15/2024,"The Travelers Companies, Inc.",,Telecommunication Services,Banks,Social Policy,Climate Risk,Report on Methane in the Energy Sector,Social,Socially Responsible Investing Funds,Green Century Capital Management,0.15
5/15/2024,"The Travelers Companies, Inc.",,Materials,Electric Utilities,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.60
5/15/2024,"American Int'l Grp, Inc.",,Real Estate,Media and Entertainment,Corporate Governance,Director Resignation Bylaw Processes,Director Resignation By-Law,Labor,State/City Specific Public Employee Pension Funds,NYC Carpenters Pension Fund,0.15
5/15/2024,"American Int'l Grp, Inc.",,Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,Kenneth Steiner,0.38
5/15/2024,"American Int'l Grp, Inc.",,Energy,"Pharmaceuticals, Biotechnology and Life Sciences",Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.65
5/15/2024,ITT Inc.,,Consumer Staples,Capital Goods,Social Policy,Political Spending,Transparency in Political Spending,Individual,Individual,John Chevedden,0.09
5/15/2024,ITT Inc.,,Consumer Discretionary,Software and Services,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.98
5/15/2024,"KBR, Inc.",,Consumer Staples,Retailing,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.98
5/15/2024,Valero Energy Corp,,Consumer Discretionary,Real Estate Investment Trusts,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
5/15/2024,"Elevance Health, Inc.",,Health Care,Media and Entertainment,Social Policy,Political Spending,Report on 3rd Party Financial Support Related to Political Spending,Social,Social - Other,The Nathan Cummings Foundation,0.05
5/15/2024,"Elevance Health, Inc.",,Financials,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.92
5/14/2024,Centene Corp,,Information Technology,Software and Services,Social Policy,Climate Risk,Managing Climate Risk Through Science-Based Targets & Transition Planning,Individual,Individual,John Chevedden,0.36
5/14/2024,Centene Corp,,Information Technology,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.91
5/14/2024,"Prudential Financial, Inc.",,Utilities,Capital Goods,Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,John Chevedden,0.35
5/14/2024,"Prudential Financial, Inc.",,Consumer Discretionary,Capital Goods,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.73
5/14/2024,ConocoPhillips,,Industrials,Electric Utilities,Executive Compensation,Rules for Annual Cash Incentive Compensation,Revisit Pay Incentives for GHG Emission Reductions,Social,Public Policy Interest Groups,National Legal and Policy Center,0.01
5/14/2024,ConocoPhillips,,Energy,Specialty Chemicals,Voting Rules,Simple Majority Voting,Simple Majority Vote,Individual,Individual,Kenneth Steiner,0.99
5/14/2024,ConocoPhillips,,Consumer Staples,Food Beverage and Tobacco,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
5/14/2024,"Motorola Solutions, Inc.",,Consumer Discretionary,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/14/2024,3M Co,,Real Estate,Banks,Corporate Governance,Board Required to Hold Common Stock,Require CEO & Board to Hold 10x Compensation in Co. Shares,,Individual,Raymond Weber,0.05
5/14/2024,3M Co,,Real Estate,Capital Goods,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.45
5/14/2024,Honeywell Int'l Inc.,,Telecommunication Services,Media and Entertainment,Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,John Chevedden,0.26
